正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律施行令,平成二十三年政令第百十二号,震災特例法施行令,,,
展覧会における美術品損害の補償に関する法律施行令,平成二十三年政令第百五十六号,美術品補償法施行令,美術品損害補償法施行令,,
東日本大震災による私的独占の禁止及び公正取引の確保に関する法律第九条第四項の規定による報告書の提出等の義務の不履行についての免責に係る期限に関する政令,平成二十三年政令第百八十三号,独禁法第十条第三項に規定する保険業を営む会社から除くものとして公正取引委員会規則で定める会社を定める規則,独占禁止法第十条第三項に規定する保険業を営む会社から除くものとして公正取引委員会規則で定める会社を定める規則,,
平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての児童福祉法施行令等の臨時特例に関する政令,平成二十三年政令第二百九号,平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての児福法施行令等の臨時特例に関する政令,,,
株式会社国際協力銀行法施行令,平成二十三年政令第二百二十一号,新ＪＢＩＣ法施行令,,,
総合特別区域法施行令,平成二十三年政令第二百四十三号,総合特区法施行令,,,
平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての健康保険法施行令等の臨時特例に関する政令,平成二十三年政令第二百四十四号,平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての健保法施行令等の臨時特例に関する政令,,,
東日本大震災の被害者の健康保険法等の一部を改正する法律附則第百三十条の二第一項の規定によりなおその効力を有するものとされた同法第二十六条の規定による改正前の介護保険法第四十八条第一項第三号の指定についての権利利益に係る満了日の延長に関する政令,平成二十三年政令第二百七十四号,東日本大震災の被害者の健保等の一部を改正する法律附則第百三十条の二第一項の規定によりなおその効力を有するものとされた同法第二十六条の規定による改正前の介護保険法第四十八条第一項第三号の指定についての権利利益に係る満了日の延長に関する政令,,,
海外の美術品等の我が国における公開の促進に関する法律施行令,平成二十三年政令第二百八十八号,海外美術品等公開促進法施行令,,,
平成二十三年度における子ども手当の支給等に関する特別措置法施行令,平成二十三年政令第三百八号,平成二十三年度子ども手当特別措置法施行令,平成二十三年度子ども手当支給特別措置法施行令,,
平成二十三年度における子ども手当の支給等に関する特別措置法に基づき市町村に交付する事務費に関する政令,平成二十三年政令第三百十号,平成二十三年度子ども手当支給特別措置法に基づき市町村に交付する事務費に関する政令,平成二十三年度子ども手当特別措置法に基づき市町村に交付する事務費に関する政令,,
特定非営利活動促進法施行令,平成二十三年政令第三百十九号,ＮＰＯ法施行令,,,
再生可能エネルギー電気の利用の促進に関する特別措置法施行令,平成二十三年政令第三百六十二号,再エネ特措法施行令,ＦＩＴ法施行令,再生可能エネルギー特別措置法施行令,再生可能エネルギー特措法施行令
平成二十三年三月十一日に発生した東北地方太平洋沖地震に伴う原子力発電所の事故により放出された放射性物質による環境の汚染への対処に関する特別措置法施行令,平成二十三年政令第三百九十四号,放射性物質汚染対処特措法施行令,,,
特定Ｂ型肝炎ウイルス感染者給付金等の支給に関する特別措置法施行令,平成二十三年政令第三百九十九号,特定Ｂ型肝炎感染者給付金支給法施行令,,,
東日本大震災復興特別区域法施行令,平成二十三年政令第四百九号,復興特区法施行令,,,
日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法施行令,平成二十三年政令第四百二十号,出入国管理特例法施行令,入管特例法施行令,,
出入国管理及び難民認定法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,平成二十三年政令第四百二十一号,出入国管理法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,入管法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,難民認定法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄,
津波防災地域づくりに関する法律施行令,平成二十三年政令第四百二十六号,津波防災地域づくり法施行令,,,
総合特別区域法施行規則,平成二十三年内閣府令第三十九号,総合特区法施行規則,,,
特定非営利活動促進法施行規則,平成二十三年内閣府令第五十五号,ＮＰＯ法施行規則,,,
民間資金等の活用による公共施設等の整備等の促進に関する法律施行規則,平成二十三年内閣府令第六十五号,ＰＦＩ法施行規則,ＰＦＩ推進法施行規則,,
東日本大震災復興特別区域法施行規則,平成二十三年内閣府令第六十九号,復興特区法施行規則,,,
第二種指定電気通信設備接続会計規則,平成二十三年総務省令第二十四号,二種指定接続会計規則,,,
東日本大震災における原子力発電所の事故による災害に対処するための避難住民に係る事務処理の特例及び住所移転者に係る措置に関する法律施行規則,平成二十三年総務省令第百十九号,原発避難者特例法施行規則,,,
東日本大震災復興特別区域法第四十三条の地方税の課税免除又は不均一課税に伴う措置が適用される場合等を定める省令,平成二十三年総務省令第百六十八号,復興特区法第四十三条の地方税の課税免除又は不均一課税に伴う措置が適用される場合等を定める省令,,,
出入国管理及び難民認定法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う法務省関係省令の整備及び経過措置に関する省令,平成二十三年法務省令第四十三号,入管法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う法務省関係省令の整備及び経過措置に関する省令　抄,難民認定法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う法務省関係省令の整備及び経過措置に関する省令　抄,出入国管理法及び日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法の一部を改正する等の法律の施行に伴う法務省関係省令の整備及び経過措置に関する省令　抄,
日本国との平和条約に基づき日本の国籍を離脱した者等の出入国管理に関する特例法施行規則,平成二十三年法務省令第四十四号,入管特例法施行規則,出入国管理特例法施行規則,,
東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律施行規則,平成二十三年財務省令第二十号,震災特例法施行規則,,,
東日本大震災に対処するための私立学校教職員共済法の特例に関する省令,平成二十三年文部科学省令第十九号,東日本大震災に対処するための私学共済法の特例に関する省令,,,
プログラムの著作物に係る登録の特例に関する法律施行規則,平成二十三年文部科学省令第二十二号,プログラム特例法施行規則,プログラム登録特例法施行規則,,
展覧会における美術品損害の補償に関する法律施行規則,平成二十三年文部科学省令第二十三号,美術品補償法施行規則,美術品損害補償法施行規則,,
平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての私立学校教職員共済法施行規則の臨時特例に関する省令,平成二十三年文部科学省令第二十九号,平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての私学共済法施行規則の臨時特例に関する省令,,,
海外の美術品等の我が国における公開の促進に関する法律施行規則,平成二十三年文部科学省令第三十三号,海外美術品等公開促進法施行規則,,,
職業訓練の実施等による特定求職者の就職の支援に関する法律施行規則,平成二十三年厚生労働省令第九十三号,求職者支援法施行規則,,,
平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての健康保険法施行規則等の臨時特例に関する省令,平成二十三年厚生労働省令第九十八号,平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての健保法施行規則等の臨時特例に関する省令,,,
平成二十三年度における子ども手当の支給等に関する特別措置法施行規則,平成二十三年厚生労働省令第百二十号,平成二十三年度子ども手当支給特別措置法施行規則,平成二十三年度子ども手当特別措置法施行規則,,
特定Ｂ型肝炎ウイルス感染者給付金等の支給に関する特別措置法施行規則,平成二十三年厚生労働省令第百四十四号,特定Ｂ型肝炎感染者給付金支給法施行規則,,,
東日本大震災により生じた放射性物質により汚染された土壌等を除染するための業務等に係る電離放射線障害防止規則,平成二十三年厚生労働省令第百五十二号,除染電離則,,,
東日本大震災復興特別区域法第四十九条第二項及び第五十五条第二項に規定する農林水産大臣に対する協議に関する命令,平成二十三年内閣府・農林水産省令第九号,復興特区法第四十九条第二項及び第五十五条第二項に規定する農林水産大臣に対する協議に関する命令,,,
津波防災地域づくりに関する法律施行規則,平成二十三年国土交通省令第九十九号,津波防災地域づくり法施行規則,,,
東日本大震災復興特別区域法第五十三条第五項、第五十四条第四項及び第九項並びに第五十六条第三項に規定する国土交通大臣等に対する協議に関する命令,平成二十三年内閣府・国土交通省令第四号,復興特区法第五十三条第五項、第五十四条第四項及び第九項並びに第五十六条第三項に規定する国土交通大臣等に対する協議に関する命令,,,
東日本大震災復興特別区域法第十八条第一項の認定の申請に係る都道府県公安委員会の意見の聴取に関する命令,平成二十三年内閣府・国土交通省令第五号,復興特区法第十八条第一項の認定の申請に係る都道府県公安委員会の意見の聴取に関する命令,,,
運輸事業の振興の助成に関する法律施行規則,平成二十三年総務省・国土交通省令第一号,運輸事業振興助成法施行規則,,,
東日本大震災復興特別区域法第四十八条第三項に規定する農林水産大臣、国土交通大臣等に対する協議に関する命令,平成二十三年内閣府・農林水産省・国土交通省令第一号,復興特区法第四十八条第三項に規定する農林水産大臣、国土交通大臣等に対する協議に関する命令,,,
地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律第四条第六項に規定する環境大臣に対する協議に関する省令,平成二十三年環境省令第二十三号,生物多様性地域連携促進法第四条第六項に規定する環境大臣に対する協議に関する省令,,,
地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律第十五条第三項の規定により地方環境事務所長に委任する権限を定める省令,平成二十三年環境省令第二十四号,生物多様性地域連携促進法第十五条第三項の規定により地方環境事務所長に委任する権限を定める省令,,,
平成二十三年三月十一日に発生した東北地方太平洋沖地震に伴う原子力発電所の事故により放出された放射性物質による環境の汚染への対処に関する特別措置法施行規則,平成二十三年環境省令第三十三号,放射性物質汚染対処特措法施行規則,,,
地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律第四条第七項に規定する都道府県知事に対する協議に関する省令,平成二十三年国土交通省・環境省令第三号,生物多様性地域連携促進法第四条第七項に規定する都道府県知事に対する協議に関する省令,,,
東日本大震災復興特別区域法第四十九条第六項に規定する国土交通大臣、環境大臣等に対する協議に関する命令,平成二十三年内閣府・国土交通省・環境省令第一号,復興特区法第四十九条第六項に規定する国土交通大臣、環境大臣等に対する協議に関する命令,,,
地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律第四条第二項第三号の特定非営利活動法人に準ずる者を定める省令,平成二十三年農林水産省・国土交通省・環境省令第二号,生物多様性地域連携促進法第四条第二項第三号の特定非営利活動法人に準ずる者を定める省令,,,
福島復興再生特別措置法,平成二十四年法律第二十五号,福島特措法,福島復興再生特措法,,
特定タンカーに係る特定賠償義務履行担保契約等に関する特別措置法,平成二十四年法律第五十二号,特定タンカー賠償義務履行担保契約特措法,イラン産原油輸送タンカー特措法,,
特定多国籍企業による研究開発事業等の促進に関する特別措置法,平成二十四年法律第五十五号,アジア拠点化推進法,,,
使用済小型電子機器等の再資源化の促進に関する法律,平成二十四年法律第五十七号,小型家電リサイクル法,,,
株式会社農林漁業成長産業化支援機構法,平成二十四年法律第八十三号,ファンド法,,,
都市の低炭素化の促進に関する法律,平成二十四年法律第八十四号,エコまち法,,,
年金生活者支援給付金の支給に関する法律,平成二十四年法律第百二号,年金生活者支援給付金法,,,
東京電力原子力事故により被災した子どもをはじめとする住民等の生活を守り支えるための被災者の生活支援等に関する施策の推進に関する法律,平成二十四年法律第四十八号,子ども・被災者支援法,原発事故子ども・被災者支援法,,
劇場、音楽堂等の活性化に関する法律,平成二十四年法律第四十九号,劇場法,,,
消費者教育の推進に関する法律,平成二十四年法律第六十一号,消費者教育法,消費者教育推進法,,
移植に用いる造血幹細胞の適切な提供の推進に関する法律,平成二十四年法律第九十号,造血幹細胞移植法,造血幹細胞提供推進法,,
警察等が取り扱う死体の死因又は身元の調査等に関する法律,平成二十四年法律第三十四号,死因身元調査法,,,
国等による障害者就労施設等からの物品等の調達の推進等に関する法律,平成二十四年法律第五十号,障害者優先調達推進法,,,
大都市地域における特別区の設置に関する法律,平成二十四年法律第八十号,大都市地域特別区設置法,,,
福島復興再生特別措置法施行令,平成二十四年政令第百十五号,福島特措法施行令,福島復興再生特措法施行令,,
国民健康保険法の一部を改正する法律の施行に伴う国民健康保険の国庫負担金等の算定に関する政令の規定の整備及び経過措置に関する政令　抄,平成二十四年政令第百三十二号,国健保法の施行に伴う国民健康保険の国庫負担金等の算定に関する政令の規定の整備及び経過措置に関する政令　抄,国保法の施行に伴う国民健康保険の国庫負担金等の算定に関する政令の規定の整備及び経過措置に関する政令　抄,,
特定タンカーに係る特定賠償義務履行担保契約等に関する特別措置法施行令,平成二十四年政令第百七十四号,イラン産原油輸送タンカー特措法施行令,特定タンカー賠償義務履行担保契約特措法施行令,,
障害者虐待の防止、障害者の養護者に対する支援等に関する法律施行令,平成二十四年政令第二百四十四号,障害者虐待防止法施行令,,,
特定多国籍企業による研究開発事業等の促進に関する特別措置法第二条第五項第五号に規定する政令で定める業種等を定める政令,平成二十四年政令第二百七十二号,アジア拠点化推進法施行令,,,
株式会社農林漁業成長産業化支援機構法施行令,平成二十四年政令第二百八十一号,ファンド法施行令,,,
都市の低炭素化の促進に関する法律施行令,平成二十四年政令第二百八十六号,エコまち法施行令,,,
沖縄県における駐留軍用地跡地の有効かつ適切な利用の推進に関する特別措置法施行規則,平成二十四年内閣府令第二十六号,跡地利用特措法施行規則,,,
福島復興再生特別措置法施行規則,平成二十四年復興庁令第三号,福島復興再生特措法施行規則,福島特措法施行規則,,
東日本大震災の被災者に対する援助のための日本司法支援センターの業務の特例に関する法律施行規則,平成二十四年法務省令第十号,法テラス震災特例法施行規則,,,
出入国管理及び難民認定法施行令第二条等に規定する伝達の方法等を定める省令,平成二十四年法務省令第二十五号,出入国管理法施行令第二条等に規定する伝達の方法等を定める省令,難民認定法施行令第二条等に規定する伝達の方法等を定める省令,入管法施行令第二条等に規定する伝達の方法等を定める省令,
住民基本台帳法施行令第三十条の二十及び出入国管理及び難民認定法施行令第八条第三項に規定する通知の方法を定める省令,平成二十四年総務省・法務省令第一号,住民基本台帳法施行令第三十条の三十及び入管法施行令第六条第三項等に規定する通知の方法を定める省令,住民基本台帳法施行令第三十条の三十及び出入国管理法施行令第六条第三項等に規定する通知の方法を定める省令,住民基本台帳法施行令第三十条の三十及び難民認定法施行令第六条第三項等に規定する通知の方法を定める省令,
株式会社国際協力銀行法施行規則,平成二十四年財務省令第十四号,新ＪＢＩＣ法施行規則,,,
児童福祉法に基づく指定通所支援の事業等の人員、設備及び運営に関する基準,平成二十四年厚生労働省令第十五号,児福法に基づく指定通所支援の事業等の人員、設備及び運営に関する基準,,,
児童福祉法に基づく指定障害児入所施設等の人員、設備及び運営に関する基準,平成二十四年厚生労働省令第十六号,児福法に基づく指定障害児入所施設等の人員、設備及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく指定地域相談支援の事業の人員及び運営に関する基準,平成二十四年厚生労働省令第二十七号,障害者総合支援法に基づく指定地域相談支援の事業の人員及び運営に関する基準,,,
障害者の日常生活及び社会生活を総合的に支援するための法律に基づく指定計画相談支援の事業の人員及び運営に関する基準,平成二十四年厚生労働省令第二十八号,障害者総合支援法に基づく指定計画相談支援の事業の人員及び運営に関する基準,,,
児童福祉法に基づく指定障害児相談支援の事業の人員及び運営に関する基準,平成二十四年厚生労働省令第二十九号,児福法に基づく指定障害児相談支援の事業の人員及び運営に関する基準,,,
障害者虐待の防止、障害者の養護者に対する支援等に関する法律施行規則,平成二十四年厚生労働省令第百三十二号,障害者虐待防止法施行規則,,,
福島復興再生特別措置法第六十八条第二項に規定する農林水産大臣等に対する協議に関する命令,平成二十四年復興庁・農林水産省令第一号,福島復興再生特措法第六十八条第二項に規定する農林水産大臣等に対する協議に関する命令,,,
福島復興再生特別措置法第五十条の規定による特定健康診査等に関する記録の提供に関する省令,平成二十四年経済産業省令第四十号,福島復興再生特措法第五十条の規定による特定健康診査等に関する記録の提供に関する省令,,,
再生可能エネルギー電気の利用の促進に関する特別措置法施行規則,平成二十四年経済産業省令第四十六号,再生可能エネルギー特措法施行規則,再生可能エネルギー特別措置法施行規則,再エネ特措法施行規則,ＦＩＴ法施行規則
原子力災害対策特別措置法に基づき原子力防災管理者が通報すべき事象等に関する規則,平成二十四年文部科学省・経済産業省令第二号,原子力災害特措法に基づき原子力防災管理者が通報すべき事象等に関する規則,原災法に基づき原子力防災管理者が通報すべき事象等に関する規則,,
原子力災害対策特別措置法に基づく緊急事態応急対策等拠点施設等に関する内閣府令,平成二十四年文部科学省・経済産業省令第三号,原災法に基づく緊急事態応急対策等拠点施設等に関する内閣府令,原子力災害特措法に基づく緊急事態応急対策等拠点施設等に関する内閣府令,,
原子力災害対策特別措置法に基づき原子力事業者が作成すべき原子力事業者防災業務計画等に関する命令,平成二十四年文部科学省・経済産業省令第四号,原子力災害特措法に基づき原子力事業者が作成すべき原子力事業者防災業務計画等に関する命令,原災法に基づき原子力事業者が作成すべき原子力事業者防災業務計画等に関する命令,,
福島復興再生特別措置法に基づく流通機能向上事業に係る許認可等の特例に関する省令,平成二十四年国土交通省令第五十七号,福島復興再生特措法に基づく流通機能向上事業に係る許認可等の特例に関する省令,,,
特定タンカーに係る特定賠償義務履行担保契約等に関する特別措置法施行規則,平成二十四年国土交通省令第六十一号,イラン産原油輸送タンカー特措法施行規則,特定タンカー賠償義務履行担保契約特措法施行規則,,
都市の低炭素化の促進に関する法律施行規則,平成二十四年国土交通省令第八十六号,エコまち法施行規則,,,
原子力災害対策特別措置法に基づき原子力防災管理者が通報すべき事業所外運搬に係る事象等に関する命令,平成二十四年文部科学省・経済産業省・国土交通省令第二号,原子力災害特措法に基づき原子力防災管理者が通報すべき事業所外運搬に係る事象等に関する省令,原災法に基づき原子力防災管理者が通報すべき事業所外運搬に係る事象等に関する省令,,
原子力災害対策特別措置法に基づき原子力防災管理者が通報すべき事業所外運搬に係る事象の通報手続等に関する命令,平成二十四年文部科学省・経済産業省・国土交通省令第三号,原子力災害特措法に基づき原子力防災管理者が通報すべき事業所外運搬に係る事象の通報手続等に関する省令,原災法に基づき原子力防災管理者が通報すべき事業所外運搬に係る事象の通報手続等に関する省令,,
福島復興再生特別措置法第六十九条第二項に規定する経済産業大臣、環境大臣等に対する協議等に関する命令,平成二十四年復興庁・農林水産省・経済産業省・環境省令第一号,福島復興再生特措法第六十九条第二項に規定する経済産業大臣、環境大臣等に対する協議等に関する命令,,,
環境教育等による環境保全の取組の促進に関する法律施行規則,平成二十四年文部科学省・農林水産省・経済産業省・国土交通省・環境省令第二号,環境教育等促進法施行規則,,,
特定多国籍企業による研究開発事業等の促進に関する特別措置法施行規則,平成二十四年内閣府・総務省・財務省・厚生労働省・農林水産省・経済産業省・国土交通省・環境省令第一号,アジア拠点化推進法施行規則,,,
行政手続における特定の個人を識別するための番号の利用等に関する法律,平成二十五年法律第二十七号,番号法,個人番号法,マイナンバー法,
国際的な子の奪取の民事上の側面に関する条約の実施に関する法律,平成二十五年法律第四十八号,ハーグ条約実施法,,,
薬物使用等の罪を犯した者に対する刑の一部の執行猶予に関する法律,平成二十五年法律第五十号,薬物法,,,
株式会社海外需要開拓支援機構法,平成二十五年法律第五十一号,クールジャパン法,,,
大規模災害からの復興に関する法律,平成二十五年法律第五十五号,大規模災害復興法,,,
大規模な災害の被災地における借地借家に関する特別措置法,平成二十五年法律第六十一号,被災地借地借家法,大規模災害借地借家法,,
障害を理由とする差別の解消の推進に関する法律,平成二十五年法律第六十五号,障害者差別解消法,,,
民間の能力を活用した国管理空港等の運営等に関する法律,平成二十五年法律第六十七号,民活空港運営法,,,
海賊多発海域における日本船舶の警備に関する特別措置法,平成二十五年法律第七十五号,日本船舶警備特措法,,,
国家公務員の配偶者同行休業に関する法律,平成二十五年法律第七十八号,配偶者同行休業法,,,
農林漁業の健全な発展と調和のとれた再生可能エネルギー電気の発電の促進に関する法律,平成二十五年法律第八十一号,農山漁村再生可能エネルギー法,,,
再生医療等の安全性の確保等に関する法律,平成二十五年法律第八十五号,再生医療等安全性確保法,再生医療安全性確保法,,
自動車の運転により人を死傷させる行為等の処罰に関する法律,平成二十五年法律第八十六号,自動車運転死傷処罰法,自動車運転死傷行為処罰法,悪質運転厳罰法,
消費者の財産的被害等の集団的な回復のための民事の裁判手続の特例に関する法律,平成二十五年法律第九十六号,集団訴訟法,消費者裁判手続特例法,消費者訴訟法,
農地中間管理事業の推進に関する法律,平成二十五年法律第百一号,農地バンク法,,,
国家戦略特別区域法,平成二十五年法律第百七号,国家戦略特区法,,,
特定秘密の保護に関する法律,平成二十五年法律第百八号,特定秘密法,特定秘密保護法,,
持続可能な社会保障制度の確立を図るための改革の推進に関する法律,平成二十五年法律第百十二号,プログラム法,社会保障改革プログラム法,,
がん登録等の推進に関する法律,平成二十五年法律第百十一号,がん登録推進法,,,
再生医療を国民が迅速かつ安全に受けられるようにするための施策の総合的な推進に関する法律,平成二十五年法律第十三号,再生医療推進法,,,
子どもの貧困対策の推進に関する法律,平成二十五年法律第六十四号,子どもの貧困対策法,,,
いじめ防止対策推進法,平成二十五年法律第七十一号,いじめ防止法,いじめ対策法,,
アルコール健康障害対策基本法,平成二十五年法律第百九号,アル法,,,
消防団を中核とした地域防災力の充実強化に関する法律,平成二十五年法律第百十号,消防団充実強化法,,,
国等による障害者就労施設等からの物品等の調達の推進等に関する法律施行令,平成二十五年政令第二十二号,障害者優先調達推進法施行令,,,
大都市地域における特別区の設置に関する法律施行令,平成二十五年政令第四十二号,大都市地域特別区設置法施行令,,,
使用済小型電子機器等の再資源化の促進に関する法律施行令,平成二十五年政令第四十五号,小型家電リサイクル法施行令,,,
警察等が取り扱う死体の死因又は身元の調査等に関する法律施行令,平成二十五年政令第四十九号,死因身元調査法施行令,,,
森林の間伐等の実施の促進に関する特別措置法施行令,平成二十五年政令第百六十二号,間伐等特別措置法施行令,間伐等特措法施行令,,
民間の能力を活用した国管理空港等の運営等に関する法律施行令,平成二十五年政令第二百二十号,民活空港運営法施行令,,,
被災区分所有建物の再建等に関する特別措置法第二条の災害を定める政令,平成二十五年政令第二百三十一号,被災マンション法第二条の災害を定める政令,,,
大規模災害からの復興に関する法律施行令,平成二十五年政令第二百三十七号,大規模災害復興法施行令,,,
消費税の円滑かつ適正な転嫁の確保のための消費税の転嫁を阻害する行為の是正等に関する特別措置法施行令,平成二十五年政令第二百六十九号,消費税転嫁対策特別措置法施行令,,,
海賊多発海域における日本船舶の警備に関する特別措置法施行令,平成二十五年政令第三百二十六号,日本船舶警備特措法施行令,,,
大規模な災害の被災地における借地借家に関する特別措置法第二条第一項の特定大規模災害及びこれに対し適用すべき措置等を指定する政令,平成二十五年政令第三百六十七号,被災地借地借家法第二条第一項の特定大規模災害及びこれに対し適用すべき措置等を指定する政令,大規模災害借地借家法第二条第一項の特定大規模災害及びこれに対し適用すべき措置等を指定する政令,,
大規模災害からの復興に関する法律施行規則,平成二十五年内閣府令第五十一号,大規模災害復興法施行規則,,,
消費税の円滑かつ適正な転嫁の確保のための消費税の転嫁を阻害する行為の是正等に関する特別措置法第八条第三号の規定による消費税に関連して取引の相手方に経済上の利益を提供する旨の表示に関する内閣府令,平成二十五年内閣府令第五十九号,消費税転嫁対策特別措置法第八条第三号の規定による消費税に関連して取引の相手方に経済上の利益を提供する旨の表示に関する内閣府令,,,
大都市地域における特別区の設置に関する法律施行規則,平成二十五年総務省令第八号,大都市地域特別区設置法施行規則,,,
福島復興再生特別措置法第二十六条等の地方税の課税免除又は不均一課税に伴う措置が適用される場合等を定める省令,平成二十五年総務省令第四十九号,福島復興再生特別措置法第二十六条等の地方税の課税免除又は不均一課税に伴う措置が適用される場合等を定める省令,,,
大規模災害からの復興に関する法律及び東日本大震災復興特別区域法に基づく筆界特定の申請に係る筆界特定申請情報の特例等に関する省令,平成二十五年法務省令第二十号,大規模災害復興法及び東日本大震災復興特別区域法に基づく筆界特定の申請に係る筆界特定申請情報の特例等に関する省令,,,
犯罪被害者等の権利利益の保護を図るための刑事手続に付随する措置に関する法律施行規則,平成二十五年法務省令第二十二号,犯罪被害者等保護法施行規則,犯罪被害者保護法施行規則,,
国等による障害者就労施設等からの物品等の調達の推進等に関する法律施行令第一条第二号イからハまでに規定する厚生労働省令で定める割合を定める省令,平成二十五年厚生労働省令第七号,障害者優先調達推進法施行令第一条第二号イからハまでに規定する厚生労働省令で定める割合を定める省令,,,
移植に用いる造血幹細胞の適切な提供の推進に関する法律施行規則,平成二十五年厚生労働省令第百三十八号,造血幹細胞移植法施行規則,造血幹細胞提供推進法施行規則,,
消費税の円滑かつ適正な転嫁の確保のための消費税の転嫁を阻害する行為の是正等に関する特別措置法第十五条第一項又は第二項の規定による立入検査をする農林水産省の職員の携帯する身分を示す証明書の様式を定める省令,平成二十五年農林水産省令第六十五号,消費税転嫁対策特別措置法第十五条第一項又は第二項の規定による立入検査をする農林水産省の職員の携帯する身分を示す証明書の様式を定める省令,,,
大規模災害からの復興に関する法律第十三条第二項及び第十九条第二項に規定する農林水産大臣に対する協議に関する命令,平成二十五年内閣府・農林水産省令第六号,大規模災害復興法第十三条第二項及び第十九条第二項に規定する農林水産大臣に対する協議に関する命令,,,
行政機関の保有する情報の公開に関する法律施行令第十三条第三項第一号に掲げる行政機関等が保有する行政文書に係る開示請求等の手続に関する省令,平成二十五年経済産業省令第十三号,行政機関情報公開法施行令第十三条第三項第一号に掲げる行政機関等が保有する行政文書に係る開示請求等の手続に関する省令,情報公開法施行令第十三条第三項第一号に掲げる行政機関等が保有する行政文書に係る開示請求等の手続に関する省令,,
株式会社海外需要開拓支援機構法施行規則,平成二十五年経済産業省令第四十二号,クールジャパン法施行規則,,,
特定鉄道等施設に係る耐震補強に関する省令,平成二十五年国土交通省令第十六号,耐震省令,,,
民間の能力を活用した国管理空港等の運営等に関する法律施行規則,平成二十五年国土交通省令第六十三号,民活空港運営法施行規則,,,
海賊多発海域における日本船舶の警備に関する特別措置法施行規則,平成二十五年国土交通省令第九十二号,日本船舶警備特措法施行規則,,,
大規模災害からの復興に関する法律第十七条第四項、第十八条第四項及び第九項並びに第二十条第三項に規定する国土交通大臣等に対する協議に関する命令,平成二十五年内閣府・国土交通省令第四号,大規模災害復興法第十七条第四項、第十八条第四項及び第九項並びに第二十条第三項に規定する国土交通大臣等に対する協議に関する命令,,,
大規模災害からの復興に関する法律第十二条第三項に規定する農林水産大臣、国土交通大臣等に対する協議に関する命令,平成二十五年内閣府・農林水産省・国土交通省令第一号,大規模災害復興法第十二条第三項に規定する農林水産大臣、国土交通大臣等に対する協議に関する命令,,,
使用済小型電子機器等の再資源化の促進に関する法律施行令第四条に規定する委託の基準に関する省令,平成二十五年環境省令第五号,小型家電リサイクル法施行令第四条に規定する委託の基準に関する省令,,,
環境影響評価法施行令別表第三の十の項の第三欄に規定する値を定める省令,平成二十五年環境省令第七号,環境アセス法施行令別表第三の十の項の第三欄に規定する値を定める省令，環境アセスメント法施行令別表第三の十の項の第三欄に規定する値を定める省令,,,
使用済小型電子機器等の再資源化の促進に関する法律施行規則,平成二十五年経済産業省・環境省令第三号,小型家電リサイクル法施行規則,,,
大規模災害からの復興に関する法律第十三条第六項に規定する国土交通大臣、環境大臣等に対する協議に関する命令,平成二十五年内閣府・国土交通省・環境省令第一号,大規模災害復興法第十三条第六項に規定する国土交通大臣、環境大臣等に対する協議に関する命令,,,
研究開発段階発電用原子炉及びその附属施設の位置、構造及び設備の基準に関する規則,平成二十五年原子力規制委員会規則第九号,研開炉設置許可基準規則,,,
